id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
3X1JmflS,True,1492128244725.0,1492128774580.0,73,mate,white,10+0,skillz_rekt,1779,nestorandres,1315,d4 e6 c4 Qf6 Nc3 Bd6 Nf3 Bb4 Bg5 Qg6 e3 h6 Bd3 Qh5 Bf4 d6 Be2 Qf5 O-O g5 Bd3 Qf6 Ne4 Qe7 Bg3 d5 cxd5 exd5 Nc3 Bxc3 bxc3 Nf6 Qc2 Bg4 Ne5 Nc6 Nxc6 bxc6 c4 Ne4 cxd5 Nxg3 Qxc6+ Bd7 Qxa8+ Qd8 Qxd8+ Kxd8 hxg3 Bg4 f3 Bd7 Rab1 Kc8 Ba6+ Kd8 Rb8+ Ke7 Rxh8 Kd6 Rxh6+ Kxd5 Rc1 c6 Bb7 Be6 Rxc6 f6 Rxf6 g4 Rfxe6 gxf3 Re5#,A40,Horwitz Defense,2
hweE5kz6,False,1493770000000.0,1493770000000.0,74,resign,black,5+5,youknowwho_79,1786,rukor,1736,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Na5 Bd5 c6 Bb3 Nxb3 axb3 c5 Bf4 Nf6 O-O Nxe4 Re1 d5 Nfd2 Bf5 f3 Bd6 Bxd6 Qxd6 fxe4 dxe4 Nxe4 Qg6 Nd6+ Kf8 Nxf5 Qxf5 Nd2 g6 Nc4 Kg7 Qe2 Rhe8 Qxe8 Rxe8 Rxe8 d3 cxd3 Qxd3 Ne5 Qd4+ Kh1 Qxb2 Rf1 f5 Nf3 Qxb3 Re7+ Kf6 Rxh7 Qc4 Rxb7 Qxf1+ Ng1 c4 Rxa7 c3 Ra6+ Ke5 Ra5+ Kd4 h3 c2 Kh2 c1=Q Nf3+ Kc4,C44,Scotch Game: Scotch Gambit,7
20OmhieD,True,1504488360932.0,1504488469943.0,13,resign,white,10+0,elijahreese,1871,radster859,1098,e4 e5 Bc4 Nf6 d3 Nc6 Nf3 Nd4 Nxe5 Bb4+ c3 Bd6 Nxf7,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
IPYQa7Aw,True,1453100000000.0,1453100000000.0,15,mate,white,20+40,ivanbus,1321,howtohedge,1393,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nxd4 Qxd4 d6 Bc4 e5 Qd5 f5 Qf7#,B32,Sicilian Defense: Open #3,7
90b8B1iO,True,1500930000000.0,1500930000000.0,124,draw,draw,10+0,alphalimaindia,1510,asianindahouse,1488,e4 e5 Nf3 Nc6 Bc4 Nf6 c3 Bc5 d4 exd4 cxd4 Bb6 e5 Ng4 Bg5 f6 exf6 gxf6 Qe2+ Qe7 h3 Qxe2+ Bxe2 Nxf2 Rf1 Ne4 Bf4 d6 Nbd2 Bf5 Nh4 Nxd2 Kxd2 Ba5+ Kc1 Be4 Bg4 f5 Bxf5 Bxf5 Nxf5 Rf8 Ng7+ Kd7 d5 Nd4 Ne6 Rf5 Nxd4 Rxd5 Nb3 Bb6 Kc2 Re8 Rae1 Rxe1 Rxe1 Rf5 Be3 Bxe3 Rxe3 Rf2+ Nd2 Rxg2 Kd3 c5 a3 Rg5 b4 b6 Nc4 Kc6 bxc5 Kxc5 Nd2 Rd5+ Ke2 a5 h4 b5 Ne4+ Kc6 Rc3+ Kb6 Kf3 b4 axb4 axb4 Rb3 Rd4 h5 d5 Nf6 h6 Ke3 Rh4 Rd3 Rh3+ Kd4 Rxd3+ Kxd3 Kb5 Nxd5 Ka4 Nb6+ Kb5 Nd5 b3 Nc3+ Kb4 Kd2 b2 Kc2 Ka3 Nb1+ Ka2 Nc3+ Ka3 Nb1+ Ka2 Nc3+ Ka1 Nb1 Ka2,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,11
X9YJPBeZ,False,1503330000000.0,1503330000000.0,36,resign,black,20+5,mehmetali_t,1528,sebastianandratpar,1594,e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Bf5 d3 c6 Bf4 Nd7 Be2 e5 Qd2 exf4 Qxf4 O-O-O b4 Qa3 Qxf5 Qxc3+ Kf1 Qxa1+ Ne1 Bxb4 c3 Bxc3 Bd1 Qxd1 Qe4 Bxe1 Qxe1 Qxd3+ Qe2 Ndf6,B01,Scandinavian Defense: Main Line,6
COa0KL60,True,1504286449655.0,1504287655078.0,52,resign,black,15+15,loveoneanother,1641,edessipi,2011,e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Nc3 Be7 Bf4 O-O Bd3 Bd6 Bg3 Bxg3 hxg3 Re8+ Be2 Bg4 Qd2 Nbd7 O-O-O Bxf3 Bxf3 c6 Qd3 Nf8 g4 Ne6 Rh2 h6 g3 Nxg4 Bxg4 Qg5+ Kb1 Qxg4 Rdh1 Qxd4 Qf3 Ng5 Qg2 Re6 Rh4 Qf6 f4 Ne4 Nxe4 Rxe4 b3 Rae8,C01,French Defense: Exchange Variation,5
zjVoHjkc,True,1503962192366.0,1503962362734.0,17,resign,white,10+0,parabellum91,1467,babblingboy,1372,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 dxc6 Nxe5 Nf6 d3 O-O O-O Qe7 Bf4 Nh5 Qxh5,C64,Ruy Lopez: Classical Variation,6
I8La0fLI,True,1504475682644.0,1504476088219.0,86,resign,black,10+0,djlambton,1776,kingsmagician,1735,c4 c6 e4 d5 exd5 cxd5 d4 dxc4 Bxc4 Nf6 Nf3 Bg4 O-O e6 Bg5 Be7 Nc3 O-O d5 exd5 Nxd5 Nxd5 Bxe7 Nxe7 Qxd8 Rxd8 Ne5 Be6 Bxe6 fxe6 Rfe1 Re8 Nc4 Nf5 g4 Nd4 Nd6 Re7 Rad1 Nbc6 a4 Nf3+ Kg2 Nxe1+ Rxe1 e5 Nb5 a6 Nc3 Rd8 Ne4 Rd4 f3 Rxa4 b3 Rb4 Re3 Nd4 Nc3 Rxb3 Nd5 Re6 Rxb3 Nxb3 f4 exf4 Nxf4 Kf7 Nh3 b5 Ng5+ Kf6 Nxe6 Kxe6 h4 a5 Kf2 a4 Ke2 Nd4+ Kd3 Ke5 Kc3 Nf3 h5 Kf4,B13,Caro-Kann Defense: Panov Attack #2,7
WVpipRhP,True,1433890000000.0,1433890000000.0,91,resign,white,8+0,hakikat_1,1404,giigii,1013,e4 c5 Qf3 d6 Bc4 Nh6 d3 g6 Bxh6 Bxh6 Qxf7+ Kd7 Be6+ Kc7 Bxc8 Qxc8 Qxe7+ Qd7 Qxd7+ Kxd7 Nf3 Nc6 O-O Kc7 a3 Rad8 Nc3 Bg7 Nd5+ Kd7 Rab1 Ne5 h3 Nxf3+ gxf3 g5 Ne3 h6 Kh2 b5 Kg2 Be5 Nd5 Rhg8 Rg1 h5 Kf1 g4 fxg4 hxg4 hxg4 Rg7 Ke2 Rdg8 f3 Rh8 Rh1 Rgg8 Rxh8 Bxh8 Rg1 Be5 Ke3 Bd4+ Kd2 Bxg1 Nf6+ Ke6 Nxg8 d5 Nh6 Kd6 Nf5+ Kc6 c3 c4 g5 Kc5 g6 d4 g7 dxc3+ Kxc3 b4+ axb4+ Kb5 g8=Q a5 dxc4+ Ka4 b3+,B20,Sicilian Defense,2
ccGGbgod,False,1496860000000.0,1496860000000.0,14,resign,white,10+0,lemoniu,1500,thelostunicorn,1313,d4 c5 Nf3 c4 e4 Nc6 Bxc4 Qa5+ Bd2 Nb4 a3 Nxc2+ Qxc2 Qg5,A43,Old Benoni Defense,2
XhDvnoiu,True,1503214744459.0,1503215453492.0,66,resign,black,10+0,mezz75,1730,yellow_dragon,1859,e4 c6 d4 d5 e5 Bf5 Nd2 e6 c3 c5 Ngf3 Nc6 Bb5 Qb6 Bxc6+ bxc6 O-O Bg4 h3 Bxf3 Nxf3 Ne7 b3 Nf5 g4 Ne7 Be3 Ng6 Rb1 cxd4 Bxd4 c5 Be3 Qc7 Qc2 Nxe5 Nxe5 Qxe5 Rfe1 Bd6 f4 Qf6 Qd2 O-O Kg2 h5 g5 Qf5 Rf1 f6 Rf3 fxg5 Rbf1 g4 hxg4 hxg4 Rg3 Rf6 a3 Qe4+ Kg1 Rh6 Rxg4 Rh1+ Kf2 Rh2+,B12,Caro-Kann Defense: Advance Variation,5
uWZ25miV,True,1504231211849.0,1504232076457.0,96,resign,black,10+3,jomax100,1910,gionabaldo,1849,d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Qc2 c6 Bf4 Bd6 Bg3 O-O e3 Bg4 f3 Bh5 Bd3 Bg6 Bxg6 fxg6 Nge2 Nh5 Bf2 Qe7 O-O-O b5 g4 Nf6 h4 b4 Na4 Nbd7 b3 Nb6 Nc5 a5 h5 a4 hxg6 h6 bxa4 Bxc5 Qxc5 Qxc5+ dxc5 Nxa4 Nd4 Nxc5 Kb2 Rfc8 Nf5 Kf8 g5 Ng8 gxh6 Nxh6 Nxh6 gxh6 Rxh6 Kg7 Rdh1 Rh8 Rxh8 Rxh8 Rxh8 Kxh8 Bg3 Kg7 Bd6 Nd3+ Kb3 c5 f4 Kxg6 Kc2 c4 e4 dxe4 Kd2 Kf5 Ke3 c3 Bc7 c2 Kd2 c1=Q+ Ke2 Nxf4+ Kf2 Qxc7 a3 bxa3 Kg3 a2,D35,Queen's Gambit Declined: Exchange Variation,7
TOzFKnYM,True,1494971733781.0,1494972913846.0,86,outoftime,black,10+0,xxcrunchypebblexx,1500,artlncln66,1500,e4 e6 d4 d6 Nf3 h6 Nc3 a6 Bc4 Be7 O-O Nf6 e5 Nfd7 exd6 cxd6 d5 e5 h3 Nc5 b4 Ncd7 Nh2 O-O Qg4 Nf6 Qf3 Nh7 Qg3 Kh8 Bd3 Rg8 Bxh7 Kxh7 Nf3 a5 b5 a4 Ne4 a3 Neg5+ hxg5 Nxg5+ Bxg5 Bxg5 f6 Qh4+ Kg6 Be3 Rh8 Qg3+ Kf7 Bc1 Ra4 Bxa3 Rb4 Bxb4 Rh6 Qa3 Qh8 Kh2 f5 Bxd6 e4 Bxb8 g5 Qg3 g4 Qc7+ Kg6 Qd6+ Kg5 f4+ Kh5 Qa3 Bd7 Be5 Qg8 hxg4+ Kxg4+ Kg1 Qh7 Bf6 Rh1+ Kf2 Rxf1+,C00,Rat Defense: Small Center Defense,4
lpURdjaK,True,1497240000000.0,1497240000000.0,71,mate,white,15+0,baranornarli,1795,egyptian-fighter,1712,d4 e6 c4 c5 d5 exd5 cxd5 Bd6 Nc3 Nf6 Bg5 O-O Nf3 h6 Bh4 Qe7 e4 Be5 Bd3 Qd6 Nb5 Qe7 Nxe5 Qxe5 Bxf6 gxf6 Qg4+ Kh8 O-O a6 f4 Qxb2 Nc7 Qd4+ Kh1 Qxd3 Nxa8 Qxe4 Nb6 Rg8 Qh3 Qg6 f5 Qg5 Rf3 d6 Nxc8 Rxc8 Rg3 Qxg3 Qxh6+ Kg8 hxg3 Nd7 g4 Re8 Kh2 Re4 Kg3 Rd4 Re1 Ne5 Qxf6 Rxg4+ Kh3 Ra4 Re3 Rxa2 Rg3+ Kf8 Qd8#,A60,Benoni Defense: Modern Variation |  Snake Variation,10
CdFLXwEO,True,1464720035802.0,1464720846893.0,53,mate,white,10+3,paralian,1831,aka121,1799,e4 e6 d4 d5 e5 c5 f4 cxd4 Qxd4 Nc6 Bb5 Bd7 Bxc6 Bxc6 Nf3 Nh6 O-O Nf5 Qf2 Qa5 Kh1 Bc5 Qe2 Bb5 Qd1 Bxf1 Qxf1 Ne3 Qe2 Nf5 c3 Qb6 b4 Be3 Bxe3 Qxe3 Qb5+ Kd8 Qxb7 Rc8 Qxf7 Qxf4 Qxe6 Qc1+ Ng1 Ne3 Qd6+ Ke8 e6 Rd8 Qc7 Qb2 Qf7#,C02,French Defense: Advance Variation #4,6
18HDTKYJ,True,1480640000000.0,1480650000000.0,78,mate,black,25+0,woodham,1198,maestro_pablo,1316,e4 e5 Nf3 Nc6 c3 Nf6 d4 exd4 Nxd4 Nxd4 Qxd4 Qe7 Bg5 Qxe4+ Qxe4+ Nxe4 f3 Nxg5 h4 Ne6 b4 c5 bxc5 Nxc5 Nd2 Bd6 Rh3 Bc7 Ne4 Nxe4 fxe4 Be5 Rc1 d5 exd5 Bxh3 gxh3 O-O c4 Rfe8 Be2 Rac8 Kf2 Bf4 Rc2 Re4 Bd3 Re3 Bf5 Rc5 Kg2 g5 hxg5 Bxg5 Rb2 Rxc4 d6 Bf6 Rxb7 Rc2+ Kf1 Rxa2 Rb8+ Kg7 d7 Rc3 Rb1 Rf3+ Ke1 Rxf5 Rb4 Rf3 Rg4+ Kf8 Rb4 Bc3+ Kd1 Rf1#,C44,Ponziani Opening: Jaenisch Counterattack,6
nr4h4juv,True,1389024922973.0,1389026099919.0,69,mate,white,15+10,kurban,1533,alandeejay,1586,Nc3 Nc6 e3 Nf6 Qf3 d5 d4 Bg4 Qf4 h6 Be2 g5 Qg3 Qd6 Bxg4 Qxg3 hxg3 Nxg4 Nxd5 a5 Nxc7+ Kd8 Nxa8 e6 Nb6 Bb4+ Bd2 Bxd2+ Kxd2 e5 d5 Ke7 dxc6 Rc8 c7 Rxc7 Nd5+ Kd6 Nxc7 Kxc7 a4 f5 Ra3 b6 Rc3+ Kb7 Nf3 f4 gxf4 gxf4 e4 Nxf2 Re1 h5 Nxe5 Ka6 Rf3 Nxe4+ Rxe4 b5 Rfxf4 bxa4 Rf6+ Kb5 c4+ Kb4 Rb6+ Kc5 Nd7#,A00,Van Geet Opening,1
Vbsajd3E,True,1492396797655.0,1492397357044.0,40,resign,black,10+0,jcasanova,1363,eder98765,1418,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 a6 Nxc6 bxc6 Bc4 Rb8 Qf3 d5 exd5 Qe7+ Be3 Rxb2 Na3 Qxa3 dxc6 Bb4+ Kf1 Nf6 Rd1 Rxc2 Bd4 Rxc4 Bxf6 Rc1 Qe3+ Be6 Bxg7 Rxd1+ Ke2 Qxe3+ Kxe3 Rxh1 Bxh8 Bc5+,C45,Scotch Game,7
sKHNjuvw,True,1459120000000.0,1459120000000.0,51,mate,white,30+30,riemannn,1744,nitin123,1174,c4 e5 g3 g6 Bg2 Nf6 Nc3 Bg7 Nf3 Nc6 d3 Nd4 Nxe5 O-O O-O c6 Nf3 Nxf3+ Bxf3 Re8 Bg5 h6 Bf4 d6 Qc1 Bh3 Re1 d5 Bxh6 dxc4 Bxg7 Kxg7 dxc4 Rh8 Rd1 Qe8 Qf4 Rh5 Bxh5 Nxh5 Qf3 Rd8 g4 Nf6 Qxh3 Ne4 Nxe4 Qxe4 Rxd8 Qxc4 Qh8#,A20,English Opening: King's English Variation,2
NAhMZ9Sf,False,1436240000000.0,1436240000000.0,52,resign,black,30+0,daerka,1301,jara_h,1571,e4 c5 Qf3 a6 Bc4 e6 d3 Nc6 Qg3 Nf6 Nf3 b5 Bb3 d5 c4 dxc4 dxc4 bxc4 Bxc4 Nb4 Na3 Qa5 Nd2 Nxe4 Nb3 Nxg3 Nxa5 Nxh1 Bf4 Ra7 O-O-O Nxf2 Rf1 Ne4 Nb5 axb5 Bxb5+ Bd7 Be2 Rxa5 a3 Nd5 Bh5 Bd6 Bxd6 Nxd6 b4 cxb4 axb4 Ra1+ Kd2 Rxf1,B20,Sicilian Defense,2
UkjiRDM7,True,1480881601738.0,1480882166981.0,75,resign,white,10+0,jhonthoth,1893,smellysocks,1897,d4 f5 c4 g6 Nc3 Bg7 e4 d6 Nf3 Nf6 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd7 Bf4 e6 Kc2 Nc6 Nb5 O-O Nxc7 Ndxe5 Nxa8 Nxf3 gxf3 e5 Bg3 Nd4+ Kd3 Rd8 Nc7 Ne6+ Nd5 Nc5+ Kc2 f4 Bh4 Bf5+ Kd2 Rxd5+ cxd5 e4 fxe4 Nxe4+ Ke2 g5 Bxg5 Nxg5 Rg1 h6 Rd1 Ne4 d6 Bd7 f3 Ng5 Rc1 Bb5+ Kf2 Bd4+ Kg2 Bxg1 Bxb5 Bb6 Rc8+ Kf7 d7 Ke7 Re8+ Kf7 d8=Q Bxd8 Rxd8,A42,Modern Defense: Averbakh System |  Randspringer Variation,8
kOkuWNex,True,1480730000000.0,1480730000000.0,86,resign,black,5+8,thepawnsofwrath,1624,haleek,1504,e4 e5 Nf3 d6 Nc3 c6 d4 exd4 Nxd4 Be7 Bd3 c5 Nb3 Be6 O-O Bxb3 cxb3 Nf6 Re1 O-O Nd5 Nxd5 exd5 Bf6 Qh5 g6 Qe2 Nd7 Bh6 Bg7 Bxg7 Kxg7 h3 Ne5 Rad1 Re8 Bb5 Re7 f4 Nd7 Qd2 a6 Bxd7 Qxd7 Rxe7 Qxe7 Qc3+ Qf6 Qxf6+ Kxf6 Kf2 Re8 Re1 Rxe1 Kxe1 h5 Kf2 Kf5 Kf3 b5 g4+ hxg4+ hxg4+ Kf6 Ke4 b4 a3 a5 axb4 axb4 f5 gxf5+ gxf5 Kg5 Kd3 Kxf5 Kc4 Ke5 Kb5 f5 Kc6 f4 Kd7 f3 Ke7 f2,C41,Philidor Defense #2,4
YcUEZKBC,False,1495755510531.0,1495755893064.0,28,resign,black,15+0,rubikstein,1580,pitagphh,1500,d4 d5 c4 dxc4 e3 c3 bxc3 e6 Nf3 Nf6 Bc4 Ng4 O-O h5 h3 Nxe3 fxe3 g6 Ng5 Qxg5 e4 Qe7 Ba3 Qg5 Bxf8 Rxf8 Qa4+ c6,D20,Queen's Gambit Accepted: Old Variation,5
TozcSlif,True,1503925229309.0,1503926482201.0,48,mate,black,15+5,pankr,1607,juansnow,1543,d4 c6 e4 d5 e5 Bf5 h3 e6 Nf3 c5 c3 Ne7 Bg5 Qb6 Qc1 Nbc6 Be3 Be4 Nbd2 Bf5 Nh4 Rc8 Nxf5 Nxf5 Bf4 cxd4 cxd4 Qxd4 Nf3 Bb4+ Bd2 Qe4+ Be2 O-O Bxb4 Nfd4 Nxd4 Nxd4 Qd1 Qxg2 Rf1 Nc2+ Kd2 Qe4 Bxf8 Qf4+ Kd3 Qd4#,B12,Caro-Kann Defense: Advance Variation,5
qkTiU2Ar,True,1504296141700.0,1504296718306.0,73,resign,black,10+0,dastan-2009,1671,trotil45,1560,e4 c6 Nf3 d5 e5 e6 d4 c5 c4 Nc6 b3 cxd4 Nxd4 Nxe5 Bb2 dxc4 Nxe6 Qxd1+ Kxd1 Bxe6 Bxe5 cxb3 Nc3 Nf6 Nb5 Kd7 Nc7 Rc8 Bb5+ Kd8 Nxe6+ fxe6 axb3 a6 Bc4 Rc6 Ke2 Be7 Rhd1+ Ke8 Kf1 Kf7 Kg1 b5 Bxf6 Bxf6 Rd7+ Kg6 Bd3+ Kg5 f4+ Kxf4 Rf1+ Kg5 g3 Rc3 h4+ Kh6 Bb1 Rxg3+ Kh2 Rxb3 Bc2 Rb2 Rf2 Rd8 Rxd8 Bxd8 Re2 g6 Rxe6 Rxc2+ Kh3,B10,Caro-Kann Defense,2
pWwB7D2m,False,1492184594364.0,1492184652024.0,17,mate,white,10+0,flafel26,1589,raslan20214,1255,e4 e5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 Nf6 d3 c6 Bg5 Be7 O-O Nfd7 Qxf7#,C41,Philidor Defense #3,5
6pP25Aqh,True,1484820000000.0,1484820000000.0,29,resign,black,10+0,laughingman22,1650,cem2237,1585,e4 e5 Nf3 Nc6 Bb5 d6 O-O Bg4 Re1 Qd7 d3 a6 Ba4 b5 Bb3 Nd4 Nbd2 f5 h3 Bxf3 Nxf3 Nxf3+ Qxf3 f4 g3 Qxh3 gxf4 Qxf3 fxe5,C62,Ruy Lopez: Steinitz Defense,6
FN9G9i3J,True,1503820000000.0,1503830000000.0,92,resign,black,10+5,eyeangel2,2182,berder,2184,d4 d5 c4 e6 Nc3 c6 Nf3 Bd6 c5 Bc7 b4 Nf6 Bg5 h6 Bh4 g5 Bg3 Ne4 Nxe4 dxe4 Ne5 Nd7 e3 Nxe5 Bxe5 Bxe5 dxe5 Qd5 Qc2 Qxe5 Rd1 a5 b5 Ke7 a4 cxb5 axb5 a4 Be2 Bd7 O-O Rhc8 c6 bxc6 b6 Rcb8 f4 exf3 Rxf3 Rxb6 Qh7 Rf8 Rdf1 Be8 Bd3 g4 Rf6 Qxe3+ Kh1 Qg5 R6f4 c5 Bg6 e5 Rxf7+ Bxf7 Bxf7 Kd8 Rd1+ Kc8 Be6+ Kb8 Qd7 Qf6 Bc4 Qc6 Qe7 Rc8 Qxe5+ Ka7 Bd5 Qd7 Qa1 Rd6 Qa3 Rxd5 Rxd5 Qxd5 Qxa4+ Kb6 Qb3+ Qxb3,D31,Semi-Slav Defense: Accelerated Move Order,6
PG11Ik0m,False,1490893823179.0,1490894038868.0,31,resign,white,8+7,rubikstein,1600,kaplan5555,1631,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nxd4 Qxd4 Nf6 Nc3 Qc7 Be3 e5 Qc4 Qxc4 Bxc4 b6 Bd5 Nxd5 Nxd5 Bb7 Nc7+ Kd8 Nxa8 Bxa8 O-O-O Bxe4 f3 Bd5 Rxd5,B32,Sicilian Defense: Open #3,7
zHhpYgMJ,True,1501498562208.0,1501499394839.0,56,resign,black,10+0,eru_roraito,1719,vladimirsahmat0v,1710,e4 e5 Nf3 Nc6 Bb5 f6 d4 a6 Ba4 b5 Bb3 d6 d5 Na7 h3 c6 c4 Bb7 cxb5 Qa5+ Nc3 Nxb5 Bd2 Nxc3 Bxc3 Qb5 a4 Qb6 dxc6 Bxc6 a5 Qb5 Ba4 Qb7 O-O Kf7 Bb3+ Ke7 Re1 Bxe4 Nxe5 fxe5 Rxe4 Nf6 Raa4 Rb8 Rxe5+ dxe5 Bb4+ Ke8 Bxf8 Qxb3 Qd6 Rxf8 Qxe5+ Kf7,C60,Ruy Lopez: Nuernberg Variation,6
yss8gC9l,True,1468120000000.0,1468120000000.0,23,resign,white,15+0,itchychess,1494,d_war,1589,c4 e5 Nc3 c5 Nf3 Nc6 g3 Nf6 Bg2 d5 d3 d4 Nb1 b6 Qa4 Bb7 Nxe5 Qd6 Nxc6 Bxc6 Bxc6+ Nd7 Bxa8,A21,English Opening: King's English Variation |  Reversed Sicilian,3
2cBP5VQm,True,1492880000000.0,1492880000000.0,52,mate,black,15+10,waheed500,1764,jovan_kingofkings,1711,d4 d5 c4 dxc4 e3 b6 Bxc4 Bb7 Nc3 Bxg2 Bd5 Bxh1 Bxh1 c6 Qa4 b5 Nxb5 cxb5 Qxb5+ Nd7 Bxa8 Qxa8 Bd2 Nf6 Rc1 e6 Rc7 Bd6 Rb7 a6 Qc6 Bxh2 Nf3 Qd8 Nxh2 O-O Ba5 Qxa5+ Ke2 Qxa2 Nf3 Qd5 Qxa6 Rc8 Qa7 h6 Ne5 Nxe5 dxe5 Rc2+ Kf1 Qh1#,D20,Queen's Gambit Accepted: Old Variation,5
lzXR3how,True,1498965019565.0,1498966247902.0,87,resign,white,8+10,jackfr0st,1480,nakuradesu,1349,e4 e5 Nf3 Nc6 Bb5 Nge7 O-O f6 d3 Nd4 Nxd4 exd4 Bc4 g6 Re1 h5 Qf3 Nc6 Bg5 Ne5 Qf4 fxg5 Qxe5+ Qe7 Qxh8 d6 c3 dxc3 Nxc3 Bd7 Nd5 Qg7 Qxg7 Bxg7 Nxc7+ Kf8 Nxa8 Bxb2 Rab1 Bc3 Re2 h4 Nc7 g4 Ne6+ Ke7 Rxb7 g3 hxg3 hxg3 fxg3 Ke8 Rxa7 Bxe6 Bxe6 Bd4+ Kh1 Bxa7 e5 Ke7 exd6+ Kxd6 Bb3 g5 Re6+ Kc5 Rg6 Kb4 Rxg5 Ka3 Rd5 Bf2 g4 Be3 g5 Kb2 g6 Bh6 Rd7 Kc3 g7 Bxg7 Rxg7 Kxd3 g4 Ke3 g5,C60,Ruy Lopez: Cozio Defense,6
Rt9WB32T,True,1461010000000.0,1461010000000.0,124,resign,black,5+9,chuckrh,1648,walywin,1552,Nf3 d5 b3 e6 Bb2 f6 e3 e5 c4 dxc4 Bxc4 Nh6 h3 Nc6 O-O a6 d4 Bd6 Nbd2 exd4 Nxd4 Nxd4 exd4 Bf5 Re1+ Kd7 Qf3 c6 g4 Bg6 Re2 Re8 Rae1 Rxe2 Rxe2 Qa5 a3 Re8 Rxe8 Kxe8 Qe3+ Kd7 Qc3 Qg5 Qe3 Qxe3 fxe3 f5 g5 Nf7 h4 h6 gxh6 gxh6 Nf3 h5 Be2 f4 exf4 Bxf4 Kf2 Be4 Bc3 Ke8 Bd2 Bxd2 Nxd2 Bg6 Kf3 Nd6 Kf4 Nb5 Bxb5 axb5 Kg5 Bf7 b4 Kd7 Nf3 Ke6 Ne5 Be8 Kf4 Kd5 Ke3 b6 Kd3 c5 bxc5 bxc5 Nf3 Bg6+ Kc3 Be4 Nd2 cxd4+ Kb4 d3 Kxb5 Bh7 a4 Kd4 a5 Kc3 Nf1 d2 Nxd2 Kxd2 a6 Be4 Kb6 Ke3 a7 Kf4 Kc7 Kg4 Kb8 Kxh4 a8=Q Bxa8 Kxa8 Kg4 Kb8 h4,A06,Nimzowitsch-Larsen Attack,3
guD5w6ja,True,1465428530954.0,1465429552171.0,152,resign,black,10+3,ayman78,1837,unrim,1948,e4 c5 Nf3 Nc6 Nc3 e6 Bb5 d5 Bxc6+ bxc6 exd5 cxd5 O-O Nf6 d4 cxd4 Qxd4 Be7 Be3 O-O Nb5 a6 Nc3 Nd7 Ne5 Bc5 Qf4 Bd6 Bd4 f6 Qg3 Nxe5 Bxe5 Bxe5 Qf3 Qc7 g3 Bb7 Qe2 d4 Nd1 Qc6 f3 Rfd8 f4 d3 cxd3 Qh1+ Kf2 Qxh2+ Ke1 Qxg3+ Qf2 Bxf4 Qxg3 Bxg3+ Kd2 Rac8 Nc3 Bh4 Kc2 Bg5 Rad1 a5 a3 Ba6 Rf3 e5 Rg3 e4 dxe4 Rxd1 Kxd1 Rd8+ Kc2 Rd2+ Kb3 a4+ Nxa4 Bc8 Kc3 Bd7 b3 Bb5 Rxg5 Rd3+ Kb4 Bxa4 Rc5 Bxb3 Rc8+ Kf7 Rc7+ Ke6 Rxg7 h5 a4 h4 Rh7 h3 a5 Ba2 a6 Rd4+ Ka3 Bb1 Rxh3 Rd3+ Rxd3 Bxd3 a7 Bxe4 Kb4 f5 Kc4 Kd7 Kd4 Kc7 Ke5 Kb7 a8=Q+ Kxa8 Kf4 Kb7 Ke5 Kc6 Ke6 Kc5 Ke5 Kc4 Kf4 Kd4 Kg3 Ke3 Kh2 Kf3 Kg1 f4 Kf1 Kg3 Ke2 f3+ Kf1 Bd3+ Ke1 f2+ Kd2 Ba6 Ke3 f1=Q Ke4 Kg4,B30,Sicilian Defense: Old Sicilian,4
